Sample1;IR88888-UBN3-4;Sample3;
IR 88287-289-1/IR 55179-3B-11-3;IR 68;IR 45427-2B-2-2B-1-1;
IR 88287-289-1/IR 64197-3B-3-1;IR 88287-289-1;IR 55179-3B-11-3;
IR 88287-289-1/IR 65196-3B-5-2-2;IR 88287-289-1;IR 64197-3B-3-1;
IR 88287-289-1/CSR 28;IR 88287-289-1;IR 65196-3B-5-2-2;
IR 88287-289-1/IR 74099-3R-3-3;IR 88287-289-1;CSR 28;
IR 88287-643-1/IR 73571-3B-14-1;IR 88287-289-1;IR 74099-3R-3-3;
IR 88287-643-1/SAMBHA MAHSURI;IR 88287-643-1;IR 73571-3B-14-1;
IR 88287-643-1/FH132;IR 88287-643-1;SAMBHA MAHSURI;
IR 88287-643-1/SR 26 B;IR 88287-643-1;FH132;
IR 88287-643-1/SUPA;IR 88287-643-1;SR 26 B;
IR 88287-534-1/SWARNA;IR 88287-643-1;SUPA;
IR 88287-534-1/CENTAURO;IR 88287-534-1;SWARNA;
IR 88287-534-1/COLOMBIA XXI;IR 88287-534-1;CENTAURO;
IR 88287-534-1/CT 6946-9-1-2-M-1P;IR 88287-534-1;COLOMBIA XXI;
IR 88287-588-1/FL 1028-8P-3-2P-1P-M-2X-3P-1P;IR 88287-534-1;DULAR;
IR 88287-579-1/GOCHI BORO;IR 88287-579-1;GIZA 178;
IR 88287-579-1/IDSA 77;IR 88287-579-1;GOCHI BORO;
IR 88287-579-1/IR 2307-247-2-2-3;IR 88287-579-1;IDSA 77;
IR 88287-579-1/IR 6;IR 88287-579-1;IR 2307-247-2-2-3;
IR 88287-40-1/IR 64;IR 88287-579-1;IR 6;
IR 88287-40-1/IR 75499-53-1;IR 88287-40-1;IR 64;
IR 88287-40-1/IR 2006-P12-12-2-2;IR 88287-40-1;IR 75499-53-1;
IR 88287-40-1/IR 2344-P1 PB-9-3-2B;IR 88287-40-1;IR 2006-P12-12-2-2;
IR 88287-40-1/N 22;IR 88287-40-1;IR 2344-P1 PB-9-3-2B;
IR 88287-86-1/NERICA 2;IR 88287-40-1;N 22;
IR 88287-86-1/IRRI 123;IR 88287-86-1;NERICA 2;
IR 88287-86-1/SAKHA 104;IR 88287-86-1;IRRI 123;
IR 88287-86-1/SOM CAU 70 A;IR 88287-86-1;SAKHA 104;
IR 88287-86-1/SUPER BASMATI;IR 88287-86-1;SOM CAU 70 A;
IR 88287-59-1/WAB 56-125;IR 88287-86-1;SUPER BASMATI;
IR 88287-59-1/OM 4900;IR 88287-59-1;OM 4498;
IR 88287-59-1/IRRI 123;IR 88287-59-1;OM 4900;
IR 88287-59-1/PUSA BASMATI 1;IR 88287-59-1;IRRI 123;
IR 88287-654-1/SADRI;IR 88287-59-1;PUSA BASMATI 1;
IR 88287-654-1/IR 13240-108-2-2-3;IR 88287-654-1;SADRI;
IR 88287-654-1/ITA 306;IR 88287-654-1;IR 13240-108-2-2-3;
IR 88287-654-1/IR 45427-2B-2-2B-1-1;IR 88287-654-1;ITA 306;
IR 88287-654-1/IR 55179-3B-11-3;IR 88287-654-1;IR 45427-2B-2-2B-1-1;
IR 88287-432-1/IR 64197-3B-3-1;IR 88287-654-1;IR 55179-3B-11-3;
IR 88287-432-1/IR 65196-3B-5-2-2;IR 88287-432-1;IR 64197-3B-3-1;
IR 88287-432-1/CSR 28;IR 88287-432-1;IR 65196-3B-5-2-2;
IR 88287-432-1/IR 74099-3R-3-3;IR 88287-432-1;CSR 28;
IR 88287-432-1/IR 73571-3B-14-1;IR 88287-432-1;IR 74099-3R-3-3;
IR 88287-655-1/SAMBHA MAHSURI;IR 88287-432-1;IR 73571-3B-14-1;
IR 88287-655-1/FH132;IR 88287-655-1;SAMBHA MAHSURI;
IR 88287-655-1/SR 26 B;IR 88287-655-1;FH132;
IR 88287-655-1/SUPA;IR 88287-655-1;SR 26 B;
IR 88287-655-1/SWARNA;IR 88287-655-1;SUPA;
IR 88287-215-1/CENTAURO;IR 88287-655-1;SWARNA;
IR 88287-215-1/COLOMBIA XXI;IR 88287-215-1;CENTAURO;
IR 88287-215-1/CT 6946-9-1-2-M-1P;IR 88287-215-1;COLOMBIA XXI;
IR 88287-266-1/FL 1028-8P-3-2P-1P-M-2X-3P-1P;IR 88287-215-1;DULAR;
HASAWI/GIZA 178;IR 88287-266-1;GIZA 159;
HASAWI/GOCHI BORO;HASAWI;GIZA 178;
HASAWI/IDSA 77;HASAWI;GOCHI BORO;
HASAWI/IR 2307-247-2-2-3;HASAWI;IDSA 77;
HASAWI/IR 6;HASAWI;IR 2307-247-2-2-3;
IR 70023-4B-R-12-3-1/IR 64;HASAWI;IR 6;
IR 70023-4B-R-12-3-1/IR 75499-53-1;IR 70023-4B-R-12-3-1;IR 64;
IR 70023-4B-R-12-3-1/IR 2006-P12-12-2-2;IR 70023-4B-R-12-3-1;IR 75499-53-1;
IR 70023-4B-R-12-3-1/IR 2344-P1 PB-9-3-2B;IR 70023-4B-R-12-3-1;IR 2006-P12-12-2-2;
IR 70023-4B-R-12-3-1/N 22;IR 70023-4B-R-12-3-1;IR 2344-P1 PB-9-3-2B;
IR 03W134/NERICA 2;IR 70023-4B-R-12-3-1;N 22;
IR 03W134/IRRI 123;IR 03W134;NERICA 2;
IR 03W134/SAKHA 104;IR 03W134;IRRI 123;
IR 03W134/SOM CAU 70 A;IR 03W134;SAKHA 104;
IR 03W134/SUPER BASMATI;IR 03W134;SOM CAU 70 A;
