Sample1;IR88888-UBN3-4;Sample3;
IR10C146/IR 07F287;IR10C146;IRRI 149;
IR10C168/IR 09F146;IR10C146;IR 07F287;
IR10C168/IR 09F154;IR10C168;IR 09F146;
IR10C168/IR 09F230;IR10C168;IR 09F154;
IR10C168/IR 09F226;IR10C168;IR 09F230;
IR10C171/IR 09F237;IR10C168;IR 09F226;
IR10C171/IR 09F238;IR10C171;IR 09F237;
IR10C171/IR 07F290;IR10C171;IR 09F238;
IR10C171/IR 07F291;IR10C171;IR 07F290;
IR10C177/IR 07F289;IR10C171;IR 07F291;
IR10C177/IR 09F260;IR10C177;IR 07F289;
IR10C177/IR 09F209;IR10C177;IR 09F260;
IR10C177/IR 09F218;IR10C177;IR 09F209;
IR 8866-30-3-1-4-2/IR 09F291;IR10C177;IR 09F218;
IR 8866-30-3-1-4-2/IR 67495-NDR 2-1-1-1-1;IR 8866-30-3-1-4-2;IR 09F291;
IR 8866-30-3-1-4-2/ANJALI;IR 8866-30-3-1-4-2;IR 67495-NDR 2-1-1-1-1;
IR 8866-30-3-1-4-2/BR 11;IR 8866-30-3-1-4-2;ANJALI;
N 22/IR 07F290;IR 8866-30-3-1-4-2;BR 11;
N 22/CT 9993-5-10-1-M;N 22;IR 07F290;
N 22/IR 71700-247-1-1-2;N 22;IRRI 149;
PSB RC 94/IR 03L142;N 22;IR 71700-247-1-1-2;
PSB RC 94/IRRI 148;PSB RC 94;IR 03L142;
PSB RC 94/IR 01A163;PSB RC 94;IRRI 148;
PSB RC 94/IR 77298-14-1-2-10;PSB RC 94;IR 01A163;
IR 13240-108-2-2-3/IR 77298-5-6-18;PSB RC 94;IR 77298-14-1-2-10;
IR 13240-108-2-2-3/IR 78875-176-B-2;IR 13240-108-2-2-3;IR 77298-5-6-18;
IR 13240-108-2-2-3/IR 78875-190-B-1-3;IR 13240-108-2-2-3;IR 78875-176-B-2;
IR 13240-108-2-2-3/IR 78908-143-B-4;IR 13240-108-2-2-3;IR 78875-190-B-1-3;
SOM CAU 70 A/IR 78985-B-6-B-B-B;IR 13240-108-2-2-3;IR 78908-143-B-4;
SOM CAU 70 A/IR 79913-B-176-B-4;SOM CAU 70 A;IR 78985-B-6-B-B-B;
SOM CAU 70 A/IR 79971-B-369;SOM CAU 70 A;IR 79913-B-176-B-4;
SOM CAU 70 A/IR 79971-B-381;SOM CAU 70 A;IR 79971-B-369;
SUPER BASMATI/IR 81039-B-173-U 3-3;SOM CAU 70 A;IR 79971-B-381;
SUPER BASMATI/IR 81063-B-94-U 3-1;SUPER BASMATI;IR 81039-B-173-U 3-3;
SUPER BASMATI/IR 68450-36-3-2-2-3;SUPER BASMATI;IR 81063-B-94-U 3-1;
SUPER BASMATI/IR 69428-6-1-1-3-3;SUPER BASMATI;IR 68450-36-3-2-2-3;
WAB 56-125/IR 69807-13-2-1;SUPER BASMATI;IR 69428-6-1-1-3-3;
SARO 5/IR 72870-19-2-2-3;SARO 5;IR 72225-20-3-2-3;
SARO 5/IR 72875-94-3-3-2;SARO 5;IR 72870-19-2-2-3;
SARO 5/IR 72903-121-2-1-2;SARO 5;IR 72875-94-3-3-2;
AGAMI M 1/IR 72967-12-2-3;SARO 5;IR 72903-121-2-1-2;
AGAMI M 1/IR 72969-143-5-3-6-2;AGAMI M 1;IR 72967-12-2-3;
AGAMI M 1/IR 73006-12-3-3-2;AGAMI M 1;IR 72969-143-5-3-6-2;
AGAMI M 1/IR 73012-137-2-2-2;AGAMI M 1;IR 73006-12-3-3-2;
ARANG/IR 00A115;AGAMI M 1;IR 73012-137-2-2-2;
ARANG/IR 73720-36-3-3-1;ARANG;IR 00A115;
ARANG/IR 00A117;ARANG;IR 73720-36-3-3-1;
ARANG/IR 01A111;ARANG;IR 00A117;
IRRI 148/IR 01N223;ARANG;IR 01A111;
IRRI 148/IR 02N200;IRRI 148;IR 01N223;
IRRI 148/IR 02N211;IRRI 148;IR 02N200;
IRRI 148/IR 02A201;IRRI 148;IR 02N211;
IR08L216/IR 75862-206-2-8-3-B-B-B;IRRI 148;IR 02A201;
IR08L216/IRRI 146;IR08L216;IR 75862-206-2-8-3-B-B-B;
IR08L216/IRRI 143;IR08L216;IRRI 146;
IR08L216/IR 03A477;IR08L216;IRRI 143;
IR09L179/IR 04A213;IR08L216;IR 03A477;
IR09L179/IR 03A550;IR09L179;IR 04A213;
IR09L179/IR 03A568;IR09L179;IR 03A550;
IR09L179/IR 04A285;IR09L179;IR 03A568;
IR11L230/IRRI 154;IR09L179;IR 04A285;
IR11L230/IR 04A427;IR11L230;IRRI 154;
IR11L230/IR 05A117;IR11L230;IR 04A427;
IR11L230/IR 05A125;IR11L230;IR 05A117;
IR11L261/IR 05N128;IR11L230;IR 05A125;
IR11L261/IR 05N160;IR11L261;IR 05N128;
IR11L261/IR 05N170;IR11L261;IR 05N160;
IR11L261/IR 05N173;IR11L261;IR 05N170;
IR 88288-10-4-1-4/IR 05N181;IR11L261;IR 05N173;
IR 88288-10-4-1-4/IR 05N204;IR 88288-10-4-1-4;IR 05N181;
IR 88288-10-4-1-4/IR 06M138;IR 88288-10-4-1-4;IR 05N204;
IR 88288-10-4-1-4/IR 06M139;IR 88288-10-4-1-4;IR 06M138;
IR 90265-B-551-1/IR 06M146;IR 88288-10-4-1-4;IR 06M139;
IR 90265-B-551-1/IR 06N156;IR 90265-B-551-1;IR 06M146;
IR 90265-B-551-1/JORYEONGBYEO;IR 90265-B-551-1;IR 06N156;
IR 90265-B-551-1/IR 49830-7-1-2-3;IR 90265-B-551-1;JORYEONGBYEO;
IR 90266-B-228-1/IR 70181-32-PMI 1-1-5-1;IR 90265-B-551-1;IR 49830-7-1-2-3;
IR 90266-B-228-1/IR 05F102;IR 90266-B-228-1;IR 70181-32-PMI 1-1-5-1;
