N/A,IR09F436/KALA RATA 1-24,228,in standardized format,"IR09F173",IR09F173,229,in standardized format,"IR 66",IR 66,
N/A,IR09F437/KHO,230,in standardized format,"IR09F436",IR09F436,231,in standardized format,"KHAIYAN",KHAIYAN,
N/A,IR09F437/IR 97703-457-42-13,232,in standardized format,"IR09F437",IR09F437,233,in standardized format,"KHO",KHO,
N/A,IR10F109/IR 97703-468-21-39,234,in standardized format,"IR09F437",IR09F437,235,in standardized format,"IR 97703#IR 97703-457#IR 97703-457-42#IR 97703-457-42-13",IR 97703-457-42-13,
N/A,IR10F109/MANAWTHUKHA,236,in standardized format,"IR10F109",IR10F109,237,in standardized format,"IR 97703#IR 97703-468#IR 97703-468-21#IR 97703-468-21-39",IR 97703-468-21-39,
N/A,IR10F187/IRRI 127,238,in standardized format,"IR10F109",IR10F109,239,in standardized format,"MANAWTHUKHA",MANAWTHUKHA,
N/A,IR10F187/IRRI 134,240,in standardized format,"IR10F187",IR10F187,241,in standardized format,"IRRI 127",IRRI 127,
N/A,IR10F192/MA ZHAN (RED),242,in standardized format,"IR10F187",IR10F187,243,in standardized format,"IRRI 134",IRRI 134,
N/A,IR10F192/MEKONGGA,244,in standardized format,"IR10F192",IR10F192,245,in standardized format,"MA ZHAN (RED)",MA ZHAN (RED),
N/A,IR10F198/MTU 1010,246,in standardized format,"IR10F192",IR10F192,247,in standardized format,"MEKONGGA",MEKONGGA,
N/A,IR10F198/NANHI,248,in standardized format,"IR10F198",IR10F198,249,in standardized format,"MTU 1010",MTU 1010,
N/A,IR10F203/NSICRC 112,250,in standardized format,"IR10F198",IR10F198,251,in standardized format,"NANHI",NANHI,
N/A,IR10F203/NSIC RC 146,252,in standardized format,"IR10F203",IR10F203,253,in standardized format,"NSICRC 112",NSICRC 112,
N/A,IR10F221/OM 4498,254,in standardized format,"IR10F203",IR10F203,255,in standardized format,"NSIC RC 146",NSIC RC 146,
N/A,IR10F221/PH 218-5-3-1,256,in standardized format,"IR10F221",IR10F221,257,in standardized format,"OM 4498",OM 4498,
N/A,IRRI 119/TKM 9,258,in standardized format,"IRRI 119",IRRI 119,259,in standardized format,"SAN HUANG ZHAN NO 2",SAN HUANG ZHAN NO 2,
N/A,IR 72046-B-R-3/A 69-1,260,in standardized format,"IRRI 119",IRRI 119,261,in standardized format,"TKM 9",TKM 9,
N/A,IR 72046-B-R-3/AZUCENA,262,in standardized format,"IR 72046#IR 72046-B#IR 72046-B-R#IR 72046-B-R-3",IR 72046-B-R-3,263,in standardized format,"A 69#A 69-1",A 69-1,
N/A,IR07T118/CENTAURO,264,in standardized format,"IR 72046#IR 72046-B#IR 72046-B-R#IR 72046-B-R-3",IR 72046-B-R-3,265,in standardized format,"AZUCENA",AZUCENA,
N/A,IR07T118/COLOMBIA XXI,266,in standardized format,"IR07T118",IR07T118,267,in standardized format,"CENTAURO",CENTAURO,
N/A,IR07T118/DASAN,268,in standardized format,"IR07T118",IR07T118,269,in standardized format,"COLOMBIA XXI",COLOMBIA XXI,
N/A,MANAW THUKHA/DULAR,270,in standardized format,"IR07T118",IR07T118,271,in standardized format,"DASAN",DASAN,
N/A,MANAW THUKHA/FEDEARROZ 2000,272,in standardized format,"MANAW THUKHA",MANAW THUKHA,273,in standardized format,"DULAR",DULAR,
N/A,MANAW THUKHA/FEDEARROZ 21,274,in standardized format,"MANAW THUKHA",MANAW THUKHA,275,in standardized format,"FEDEARROZ 2000",FEDEARROZ 2000,
N/A,SADRI/FEDEARROZ 473,276,in standardized format,"MANAW THUKHA",MANAW THUKHA,277,in standardized format,"FEDEARROZ 21",FEDEARROZ 21,
N/A,SADRI/FEDEARROZ MOCARE,278,in standardized format,"SADRI",SADRI,279,in standardized format,"FEDEARROZ 473",FEDEARROZ 473,
N/A,IR 13240-108-2-2-3/GIZA 178,280,in standardized format,"SADRI",SADRI,281,in standardized format,"FEDEARROZ MOCARE",FEDEARROZ MOCARE,
N/A,IR 13240-108-2-2-3/IDSA 77,282,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3",IR 13240-108-2-2-3,283,in standardized format,"GIZA 178",GIZA 178,
N/A,ITA 306/IR 2006-P12-12-2-2,284,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3",IR 13240-108-2-2-3,285,in standardized format,"IDSA 77",IDSA 77,
N/A,ITA 306/IR 2307-247-2-2-3,286,in standardized format,"ITA 306",ITA 306,287,"IR 2006-P12^-12-2-2	;string pattern not recognized. #",N/A,IR 2006-P12-12-2-2,
